Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	2349	0.988	466.266	19.85%	93.296	15.821%	0.06216	0.985
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	234	0.982	80.457	34.383%	13.949	19.445%	0.18932	0.98
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	576	0.991	144.48	25.083%	26.936	13.702%	0.14093	0.99
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	1506	0.994	279.85	18.582%	48.747	11.35%	0.06184	0.993
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	375	0.989	93.677	24.981%	16.097	14.66%	0.11752	0.988
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	540	0.989	214.264	39.679%	53.421	25.343%	0.43007	0.989
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	559	0.991	250.008	44.724%	70.266	29.894%	0.43359	0.992
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	883	0.997	140.328	15.892%	24.384	7.313%	0.06059	0.997
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	617	0.993	135.975	22.038%	23.666	13.171%	0.10582	0.992
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	711	0.982	239.763	33.722%	48.341	22.702%	0.17728	0.98
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	811	0.992	338.124	41.692%	84.355	27.659%	0.40964	0.993
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	1438	0.996	474.937	33.028%	107.786	18.546%	0.23273	0.996
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	644	0.984	203.641	31.621%	36.818	18.474%	0.17374	0.982
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	363	0.98	127.945	35.247%	24.051	21.916%	0.21454	0.977
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	534	0.991	126.011	23.598%	22.989	13.708%	0.1324	0.989
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	303	0.984	95.905	31.652%	15.584	18.354%	0.15414	0.981
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	1169	0.985	289.7	24.782%	53.85	18.105%	0.08418	0.982
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	575	0.997	89.141	15.503%	14.472	7.24%	0.06413	0.997
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	641	0.991	161.467	25.19%	26.104	13.214%	0.13487	0.99
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	387	0.99	96.426	24.916%	19.193	13.969%	0.18173	0.989
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	630	0.988	224.293	35.602%	62.839	26.02%	0.29643	0.989
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	766	0.987	368.059	48.049%	87.054	30.965%	0.48419	0.988
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	309	0.976	101.204	32.752%	18.916	21.847%	0.20254	0.971
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	1475	0.992	539.054	36.546%	146.451	26.114%	0.28723	0.994
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	502	0.99	136.756	27.242%	27.269	16.049%	0.15508	0.989
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	1303	0.997	168.199	12.909%	35.91	7.148%	0.07383	0.997
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	542	0.997	84.0	15.498%	15.126	7.139%	0.07199	0.997
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	580	0.984	299.67	51.667%	83.507	41.801%	0.89684	0.986
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	455	0.989	117.507	25.826%	22.388	15.053%	0.1503	0.988
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	321	0.985	87.801	27.352%	15.877	17.407%	0.16061	0.983
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	865	0.979	262.1	30.301%	55.427	24.491%	0.11412	0.976
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	209	0.953	86.604	41.437%	16.019	32.212%	0.23859	0.942
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	217	0.969	79.164	36.481%	15.954	24.51%	0.23978	0.965
